optimizer,alpha,beta,train_loss,test_loss,test_accuracy
SGD,,,0.02198525181785226,0.08192065064051421,0.9764
ElasticOptim,0.1,0.0,0.8960456183433533,0.8858550603866577,0.8895
ElasticOptim,0.1,1.0,0.8662355441093444,0.8586532820701599,0.9095
ElasticOptim,0.1,5.0,0.9422878245035807,0.9320686772346497,0.8722
ElasticOptim,0.5,0.0,0.0959963342487812,0.10256902397871018,0.9688
ElasticOptim,0.5,1.0,0.09829046929279964,0.10674921437054873,0.9659
ElasticOptim,0.5,5.0,0.1096089286327362,0.11584705838412046,0.9644
ElasticOptim,0.9,0.0,0.07841762684981028,0.0938598241597414,0.9715
ElasticOptim,0.9,1.0,0.07724979070822398,0.0904752894088626,0.9727
ElasticOptim,0.9,5.0,0.09552889151175817,0.1043626723304391,0.9671
