optimizer,alpha,beta,train_loss,test_loss,test_accuracy
SGD,,,0.03386528537273407,0.07111116203032435,0.9784
ElasticOptim,0.1,0.0,0.24225721206665038,0.23792394330501557,0.934
ElasticOptim,0.1,1.0,0.2416260996500651,0.24008890336751937,0.9342
ElasticOptim,0.1,5.0,0.2333267327864965,0.2287726161122322,0.9364
ElasticOptim,0.5,0.0,0.16992884965737662,0.17238562607765198,0.9494
ElasticOptim,0.5,1.0,0.172328169131279,0.17480990785956382,0.9486
ElasticOptim,0.5,5.0,0.17400977549552918,0.17573632673621178,0.9471
ElasticOptim,0.9,0.0,0.15891574188868204,0.16216821969151496,0.9521
ElasticOptim,0.9,1.0,0.16125178424517314,0.16401085123419762,0.9528
ElasticOptim,0.9,5.0,0.16399712030887603,0.16482031103372574,0.9531
