optimizer,alpha,beta,train_loss,test_loss,test_accuracy
SGD,,,0.09615733576615651,0.1079920658916235,0.9665
ElasticOptim,0.1,0.0,0.9034065594037374,0.887469695854187,0.834
ElasticOptim,0.1,1.0,0.9257731583595276,0.9068567271232605,0.824
ElasticOptim,0.1,5.0,0.8461443768501282,0.8278617292404175,0.8493
ElasticOptim,0.5,0.0,0.29709026434421537,0.28649074437618255,0.9196
ElasticOptim,0.5,1.0,0.29959321788946786,0.28861282329559323,0.918
ElasticOptim,0.5,5.0,0.30062332986195883,0.2902119768381119,0.9193
ElasticOptim,0.9,0.0,0.28189861364364627,0.2731431891202927,0.9227
ElasticOptim,0.9,1.0,0.28335947954654694,0.27449380054473876,0.9232
ElasticOptim,0.9,5.0,0.2936116773128509,0.28312311458587647,0.9196
