num_workers,eta,beta,alpha,alpha_pull,loss
1,0.0005,0.5,0.1,0.1,2.2572843830630056
1,0.0005,0.5,0.1,0.325,3.327393591072466
1,0.0005,0.5,0.1,0.55,3.6578921145323484
1,0.0005,0.5,0.1,0.775,3.838831275656799
1,0.0005,0.5,0.1,1.0,3.9934060711908876
1,0.0005,0.5,0.325,0.1,0.665856734180531
1,0.0005,0.5,0.325,0.325,1.8923780879897785
1,0.0005,0.5,0.325,0.55,2.568745588659928
1,0.0005,0.5,0.325,0.775,2.929426355531837
1,0.0005,0.5,0.325,1.0,3.1546931974981938
1,0.0005,0.5,0.55,0.1,0.4640876891129315
1,0.0005,0.5,0.55,0.325,1.1191751500204061
1,0.0005,0.5,0.55,0.55,1.850855779295012
1,0.0005,0.5,0.55,0.775,2.3217762070631736
1,0.0005,0.5,0.55,1.0,2.629075638899648
1,0.0005,0.5,0.775,0.1,0.39790413537146296
1,0.0005,0.5,0.775,0.325,0.7707637939415088
1,0.0005,0.5,0.775,0.55,1.3332677340009038
1,0.0005,0.5,0.775,0.775,1.8338998125786559
1,0.0005,0.5,0.775,1.0,2.194188880262452
1,0.0005,0.5,1.0,0.1,0.36522718902066137
1,0.0005,0.5,1.0,0.325,0.6143945823018806
1,0.0005,0.5,1.0,0.55,0.9973393155784089
1,0.0005,0.5,1.0,0.775,1.4456191450293967
1,0.0005,0.5,1.0,1.0,2.332196760422268
1,0.0005,1.0,0.1,0.1,2.2572843830630056
1,0.0005,1.0,0.1,0.325,3.327393591072466
1,0.0005,1.0,0.1,0.55,3.6578921145323484
1,0.0005,1.0,0.1,0.775,3.838831275656799
1,0.0005,1.0,0.1,1.0,3.9934060711908876
1,0.0005,1.0,0.325,0.1,0.665856734180531
1,0.0005,1.0,0.325,0.325,1.8923780879897785
1,0.0005,1.0,0.325,0.55,2.568745588659928
1,0.0005,1.0,0.325,0.775,2.929426355531837
1,0.0005,1.0,0.325,1.0,3.1546931974981938
1,0.0005,1.0,0.55,0.1,0.4640876891129315
1,0.0005,1.0,0.55,0.325,1.1191751500204061
1,0.0005,1.0,0.55,0.55,1.850855779295012
1,0.0005,1.0,0.55,0.775,2.3217762070631736
